WBAN,Name,State,Location,Latitude,Longitude,StationHeight,Barometer,TimeZone
3011,TELLURIDE,CO,TELLURIDE REGIONAL AIRPORT,37.95,-107.9,2766.97,,-7
3012,TAOS,NM,TAOS REGIONAL AIRPORT,36.45,-105.66667,2161.34,,-7
3013,LAMAR,CO,LAMAR MUNICIPAL AIRPORT,38.07,-102.68806,1128.67,124449.83,-7
3014,TORREON,NM,TORREON,35.7991,-107.1813,2105.86,0.0,-7
3016,RIFLE,CO,GARFIELD CO REGIONAL ARPT,39.52778,-107.71972,1689.81,186454.63,-7
3017,DENVER,CO,DENVER INTERNATIONAL AIRPORT,39.8328,-104.6575,1655.37,182255.51,-7
3024,BORGER,TX,HUTCHINSON COUNTY AIRPORT,35.695,-101.395,930.86,102980.12,-6
3026,BURLINGTON,CO,KIT CARSON COUNTY AIRPORT,39.24472,-102.28416999999999,1285.34,142160.65,-7
3027,CLINES CORNERS,NM,CLINES CORNERS,35.00278,-105.66278,2159.81,240162.78,-7
3028,SPRINGFIELD,CO,COMANCHE NATIONAL GRASSLAND,37.28333,-102.61389,1335.02,148527.07,-7
3029,WINDOW ROCK,AZ,WINDOW ROCK AIRPORT,35.6575,-109.06138999999999,2054.05,228412.01,-7
3030,GUYMON,OK,GUYMON MUNICIPAL AIRPORT,36.681670000000004,-101.50528,948.54,105587.64,-6
3031,ODESSA,TX,ODESSA-SCHLEMEYER FLD ARPT,31.92056,-102.38667,914.7,100304.87,-6
3032,DRYDEN,TX,TERRELL COUNTY AIRPORT,30.048059999999996,-102.21306,701.34,78124.02,-6
3033,MORIARTY,NM,MORIARTY AIRPORT,34.98472,-106.0,1889.46,,-7
3034,ALBUQUERQUE,NM,DOUBLE EAGLE II AIRPORT,35.145,-106.795,1779.12,,-7
3035,ARTESIA,NM,ARTESIA MUNICIPAL AIRPORT,32.8525,-104.4675,1079.3,,-7
3036,BLANDING,UT,BLANDING MUNICIPAL AIRPORT,37.58278,-109.48306000000001,1787.65,,-7
3037,COLBY,KS,SHALTZ FIELD AIRPORT,39.4275,-101.04639,971.09,,-6
3038,COPPER MOUNTAIN,CO,COPPER MOUNTAIN,39.46667,-106.15,3680.16,0.0,-7
3039,WOLF CREEK PASS,CO,WOLF CREEK PASS AWOS-3 AIRPORT,37.45,-106.8,3593.9,,-7
3040,MONUMENT HILL,CO,MONUMENT HILL AWOS-3 ARPT,39.21667,-104.63333,2151.89,,-7
3041,MONARCH PASS,CO,MONARCH PASS AWOS-3 ARPT,38.48333,-106.31667,3667.05,,-7
3042,LA VETA PASS,CO,LA VETA PASS AWOS-3 ARPT,37.5,-105.16667,3114.14,,-7
3043,ATWOOD,KS,ATWOOD-RAWLNS CO CTY CO AP,39.84,-101.04194,911.66,,-6
3044,BIG SPRING,TX,BIG SRNG MCMHN-WRKLE ARPT,32.2125,-101.52139,784.25,,-6
