WBAN,prediction
3011,-7
3012,-7
3013,-7
3014,-7
3016,-7
3017,-7
3024,-6
3026,-7
3027,-7
3028,-7
3029,-7
3030,-6
3031,-6
3032,-6
3033,-7
3034,-7
3035,-7
3036,-7
3037,-6
3038,-7
3039,-7
3040,-7
3041,-7
3042,-7
3043,-6
3044,-6
3045,-6
3047,-6
3048,-7
3049,-6
3050,-6
3051,-6
3052,-6
3053,-7
3054,-6
3055,-6
3056,-6
3058,-6
3059,-6
3060,-7
3061,-7
3062,-7
3063,-7
3065,-7
3067,-6
3068,-7
3069,-7
3070,-6
3071,-6
3072,-6
3074,-7
3075,-7
3076,-7
3077,-7
3078,-7
3079,-7
3080,-7
3081,-7
3082,-7
3083,-7
3084,-7
3085,-7
3086,-7
3087,-7
3088,-7
3089,-7
3090,-7
3091,-7
3092,-7
3093,-7
3094,-7
3095,-7
3096,-7
3097,-7
3098,-7
3099,-7
3101,-7
3102,-8
3103,-7
3104,-8
3124,-7
3131,-8
3144,-8
3145,-7
3148,-7
3154,-8
3159,-8
3160,-8
3162,-7
3163,-8
3164,-8
3165,-8
3166,-8
3167,-8
3170,-8
3171,-8
3174,-8
3177,-8
3178,-8
3179,-8
3180,-8
3181,-8
3183,-8
3184,-7
3185,-7
3186,-7
3192,-7
3195,-7
3196,-7
3701,-5
3702,-5
3703,-5
3704,-5
3705,-5
3706,-5
3707,-5
3708,-5
3709,-5
3710,-5
3711,-5
3712,-5
3713,-5
3714,-5
3715,-5
3716,-5
3717,-5
3718,-5
3719,-5
3720,-5
3721,-5
3722,-5
3723,-5
3724,-5
3725,-5
3726,-5
3727,-5
3728,-5
3730,-5
3731,-5
3732,-5
3733,-5
3734,-5
3735,-5
3736,-5
3737,-5
3738,-5
3739,-5
3741,-5
3742,-5
3749,-5
3755,-5
3756,-5
3757,-5
3758,-5
3759,-5
3761,-5
3763,-5
3802,-5
3804,-5
3809,-6
3810,-5
3811,-6
3812,-5
3813,-5
3816,-6
3818,-6
3820,-5
3821,-5
3822,-5
3832,-5
3841,-5
3847,-6
3849,-5
3850,-6
3852,-6
3853,-5
3855,-6
3856,-6
3858,-5
3859,-5
3860,-5
3865,-6
3866,-6
3868,-5
3870,-5
3872,-5
3875,-5
3878,-6
3879,-6
3881,-6
3882,-6
3883,-6
3887,-6
3888,-5
3889,-5
3892,-6
3893,-5
3894,-6
3896,-6
3901,-6
3902,-6
3904,-6
3908,-6
3914,-7
3918,-6
3919,-6
3923,-6
3927,-6
3928,-6
3929,-6
3930,-6
3931,-6
3932,-6
3933,-6
3935,-6
3936,-6
3937,-6
3938,-6
3940,-6
3945,-6
3947,-6
3948,-6
3949,-6
3950,-6
3952,-6
3953,-6
3954,-6
3957,-6
3958,-6
3959,-6
3960,-6
3961,-6
3962,-6
3963,-6
3965,-6
3966,-6
3967,-6
3968,-6
3969,-6
3970,-6
3971,-6
3972,-6
3973,-6
3974,-6
3975,-6
3976,-6
3978,-6
3981,-6
3985,-6
3991,-6
3994,-6
3996,-6
3997,-6
3998,-6
3999,-6
4109,-8
4110,-7
4111,-7
4112,-7
4113,-8
4114,-7
4116,-7
4125,-8
4126,-7
4127,-7
4128,-8
4129,-7
4130,-7
4131,-7
4133,-7
4134,-7
4135,-7
4136,-8
4137,-7
4138,-7
4139,-8
4140,-7
4141,-8
4143,-7
4201,-8
4204,-8
4205,-8
4221,-8
4222,-8
4223,-8
4224,-8
4236,-8
4237,-8
4720,-5
4724,-5
4725,-5
4726,-5
4741,-5
4743,-5
4751,-5
4780,-5
4781,-5
4787,-5
4789,-5
4803,-6
4804,-5
4805,-5
4806,-5
4807,-6
4808,-6
4813,-5
4824,-6
4825,-6
4826,-6
4827,-5
4828,-5
4829,-5
4831,-6
4836,-5
4838,-6
4839,-5
4840,-6
4841,-6
4842,-5
4843,-5
4845,-6
4846,-6
4847,-5
4848,-5
4849,-5
4850,-5
4851,-5
4852,-5
4853,-5
4854,-5
4855,-5
4856,-5
4857,-5
4858,-5
4862,-6
4863,-5
4864,-6
4865,-6
4866,-6
4867,-6
4868,-6
4869,-5
4870,-5
4871,-6
4872,-5
4873,-6
4874,-5
4875,-6
4876,-6
4877,-5
4878,-5
4879,-6
4880,-6
4881,-5
4882,-5
4883,-5
4884,-5
4885,-5
4886,-5
4887,-5
4888,-5
4889,-6
4890,-6
4891,-6
4892,-5
4893,-5
4894,-6
4895,-6
4896,-6
4897,-6
4898,-6
4899,-6
4901,-6
4902,-6
4903,-6
4904,-6
4905,-6
4906,-6
4907,-6
4908,-6
4909,-6
4910,-6
4911,-6
4912,-6
4913,-6
4914,-6
4915,-6
4916,-6
4917,-6
4918,-6
4919,-6
4920,-6
4921,-6
4922,-6
4923,-6
4924,-6
4925,-6
4926,-6
4927,-6
4928,-6
4929,-6
4930,-6
4931,-6
4932,-6
4933,-6
4934,-6
4935,-6
4936,-6
4937,-6
4938,-6
4939,-6
4940,-6
4941,-6
4942,-6
4943,-6
4944,-6
4945,-6
4946,-6
4947,-6
4948,-6
4949,-6
4950,-6
4951,-6
4952,-6
4953,-6
4954,-6
4955,-6
4956,-6
4957,-6
4958,-6
4959,-6
4960,-6
4961,-6
4962,-6
4963,-6
4964,-6
4965,-6
4966,-6
4967,-6
4968,-6
4969,-6
4970,-6
4971,-6
4972,-6
4973,-6
4974,-6
4975,-6
4976,-6
4977,-6
4978,-6
4979,-6
4980,-6
4981,-6
4982,-6
4983,-6
4984,-6
4989,-6
4990,-6
4992,-6
4993,-6
4994,-6
4995,-6
4996,-6
4997,-6
4998,-6
4999,-6
11603,-4
11624,-4
11630,-4
11640,-4
11641,-4
11653,-4
11706,-5
11813,-5
12803,-5
12809,-5
12810,-5
12812,-5
12815,-5
12816,-5
12818,-5
12819,-5
12826,-5
12832,-5
12833,-5
12834,-5
12835,-5
12836,-5
12838,-5
12839,-5
12841,-5
12842,-5
12843,-5
12844,-5
12849,-5
12850,-5
12854,-5
12861,-5
12867,-5
12871,-5
12873,-5
12876,-5
12882,-5
12883,-5
12884,-6
12885,-5
12886,-5
12888,-5
12889,-5
12894,-5
12895,-5
12896,-5
12897,-5
12898,-5
12904,-6
12906,-6
12907,-6
12909,-6
12911,-6
12912,-6
12916,-6
12917,-6
12918,-6
12919,-6
12921,-6
12923,-6
12924,-6
12925,-6
12926,-6
12927,-6
12928,-6
12930,-6
12932,-6
12935,-6
12936,-6
12945,-6
12946,-6
12947,-6
12953,-6
12957,-6
12958,-6
12959,-6
12960,-6
12961,-6
12962,-6
12968,-6
12970,-6
12971,-6
12972,-6
12973,-6
12974,-6
12975,-6
12976,-6
12977,-6
12978,-6
12979,-6
12980,-6
12981,-6
12982,-6
12983,-6
12984,-6
12985,-6
12986,-6
12987,-6
12989,-6
12990,-6
12991,-6
12992,-6
12993,-6
12994,-6
12995,-6
13025,1
13301,-6
13601,-4
13701,-5
13702,-5
13705,-5
13707,-5
13713,-5
13714,-5
13717,-5
13721,-5
13722,-5
13723,-5
13724,-5
13728,-5
13729,-5
13730,-5
13733,-5
13734,-5
13735,-5
13736,-5
13737,-5
13739,-5
13740,-5
13741,-5
13743,-5
13744,-5
13748,-5
13750,-5
13752,-5
13754,-5
13762,-5
13763,-5
13764,-5
13766,-5
13769,-5
13773,-5
13776,-5
13777,-5
13781,-5
13782,-5
13783,-5
13786,-5
13802,-6
13803,-5
13806,-6
13807,-5
13809,-6
13810,-5
13812,-5
13814,-6
13820,-6
13821,-6
13824,-5
13825,-6
13827,-6
13829,-5
13833,-6
13837,-5
13838,-6
13839,-6
13840,-5
13841,-5
13846,-6
13849,-5
13857,-5
13858,-6
13860,-5
13861,-5
13864,-5
13865,-6
13866,-5
13868,-5
13869,-5
13870,-5
13871,-6
13873,-5
13874,-5
13876,-6
13877,-5
13878,-5
13880,-5
13881,-5
13882,-5
13883,-5
13884,-6
13886,-5
13889,-5
13891,-5
13893,-6
13894,-6
13895,-6
13896,-6
13897,-6
13899,-6
13902,-6
13904,-6
13909,-6
13910,-6
13911,-6
13919,-6
13920,-6
13925,-6
13926,-6
13927,-6
13930,-6
13932,-6
13935,-6
13939,-6
13940,-6
13941,-6
13942,-6
13944,-6
13945,-6
13947,-6
13957,-6
13958,-6
13959,-6
13960,-6
13961,-6
13962,-6
13963,-6
13964,-6
13966,-6
13967,-6
13968,-6
13969,-6
13970,-6
13971,-6
13972,-6
13973,-6
13975,-6
13976,-6
13977,-6
13978,-6
13981,-6
13984,-6
13985,-6
13986,-6
13987,-6
13988,-6
13989,-6
13993,-6
13994,-6
13995,-6
13996,-6
13997,-6
13999,-6
14604,-5
14605,-5
14606,-5
14607,-5
14609,-5
14610,-5
14611,-5
14615,-5
14616,-5
14702,-5
14703,-5
14704,-5
14706,-5
14707,-5
14710,-5
14711,-5
14712,-5
14714,-5
14715,-5
14719,-5
14732,-5
14733,-5
14734,-5
14735,-5
14736,-5
14737,-5
14739,-5
14740,-5
14742,-5
14745,-5
14747,-5
14748,-5
14750,-5
14751,-5
14752,-5
14753,-5
14755,-5
14756,-5
14757,-5
14758,-5
14761,-5
14762,-5
14763,-5
14764,-5
14765,-5
14768,-5
14770,-5
14771,-5
14775,-5
14777,-5
14778,-5
14780,-5
14787,-5
14790,-5
14792,-5
14793,-5
14794,-5
14804,-5
14808,-5
14813,-5
14815,-5
14817,-5
14819,-6
14820,-5
14821,-5
14822,-5
14825,-5
14826,-5
14827,-5
14829,-5
14833,-5
14834,-6
14835,-5
14836,-5
14837,-6
14839,-6
14840,-5
14841,-5
14842,-6
14845,-5
14847,-5
14848,-5
14850,-5
14852,-5
14853,-5
14855,-6
14858,-5
14860,-5
14864,-5
14880,-6
14886,-6
14891,-5
14894,-5
14895,-5
14897,-6
14898,-6
14905,-6
14910,-6
14913,-6
14914,-6
14916,-6
14918,-6
14919,-6
14920,-6
14921,-6
14922,-6
14923,-6
14925,-6
14926,-6
14927,-6
14928,-6
14929,-6
14930,-6
14931,-6
14933,-6
14935,-6
14936,-6
14937,-6
14938,-6
14939,-6
14940,-6
14941,-6
14942,-6
14943,-6
14944,-6
14946,-6
14949,-6
14950,-6
14954,-6
14958,-6
14966,-6
14972,-6
14976,-6
14989,-6
14990,-6
14991,-6
14992,-6
14994,-6
16201,0
21504,-10
21508,-10
21510,-10
21514,-10
21515,-10
21603,-10
22001,-6
22010,-6
22016,-6
22501,-10
22508,-10
22514,-10
22516,-10
22519,-10
22521,-10
22524,-10
22534,-10
22536,-10
22551,-10
22552,-10
22701,-11
23002,-7
23007,-6
23008,-7
23009,-7
23020,-6
23023,-6
23033,-6
23034,-6
23036,-7
23040,-6
23042,-6
23044,-7
23047,-6
23048,-7
23049,-7
23050,-7
23051,-7
23052,-7
23054,-7
23055,-7
23061,-7
23063,-7
23064,-6
23065,-7
23066,-7
23067,-7
23070,-7
23077,-7
23078,-7
23081,-7
23090,-7
23091,-6
23094,-7
23097,-6
23098,-6
23104,-7
23109,-7
23110,-8
23111,-7
23112,-8
23114,-8
23119,-8
23129,-8
23130,-8
23131,-8
23136,-8
23141,-8
23149,-8
23152,-8
23153,-8
23154,-8
23155,-8
23157,-8
23158,-8
23159,-7
23160,-7
23161,-8
23162,-7
23169,-8
23170,-7
23174,-8
23176,-7
23179,-8
23182,-8
23183,-7
23184,-7
23185,-8
23186,-7
23187,-8
23188,-8
23190,-8
23191,-8
23194,-7
23195,-7
23199,-8
23202,-8
23206,-8
23213,-8
23224,-8
23225,-8
23230,-8
23232,-8
23233,-8
23234,-8
23237,-8
23239,-8
23240,-8
23243,-8
23244,-8
23254,-8
23257,-8
23258,-8
23259,-8
23271,-8
23272,-8
23273,-8
23275,-8
23277,-8
23285,-8
23289,-8
23293,-8
23801,-6
23802,-6
23803,-6
23901,-6
23902,-6
23903,-6
23904,-6
23906,-6
23907,-6
23908,-6
23909,-6
24006,-7
24011,-6
24012,-7
24013,-6
24015,-7
24017,-7
24018,-7
24021,-7
24022,-7
24023,-6
24024,-7
24025,-6
24027,-7
24028,-7
24029,-7
24030,-7
24032,-6
24033,-7
24036,-7
24037,-7
24044,-7
24045,-7
24046,-7
24048,-7
24051,-7
24057,-7
24061,-7
24062,-7
24087,-7
24089,-7
24090,-7
24091,-6
24101,-7
24103,-7
24106,-7
24110,-8
24112,-7
24114,-8
24119,-8
24121,-8
24126,-7
24127,-7
24128,-8
24130,-8
24131,-7
24132,-7
24133,-7
24135,-7
24136,-8
24137,-7
24138,-7
24141,-8
24143,-7
24144,-7
24145,-7
24146,-7
24148,-8
24149,-8
24150,-7
24151,-7
24152,-8
24153,-7
24154,-8
24155,-8
24156,-7
24157,-8
24160,-8
24162,-7
24163,-8
24164,-7
24165,-7
24166,-7
24172,-8
24174,-7
24180,-7
24193,-7
24196,-7
24198,-7
24201,-8
24202,-8
24207,-8
24213,-8
24215,-8
24216,-8
24217,-8
24219,-8
24220,-8
24221,-8
24222,-8
24223,-8
24225,-8
24227,-8
24229,-8
24230,-8
24231,-8
24232,-8
24233,-8
24234,-8
24235,-8
24237,-8
24241,-8
24242,-8
24243,-8
24255,-8
24257,-8
24259,-8
24267,-8
24281,-8
24283,-8
24284,-8
24285,-8
24286,-8
25308,-9
25309,-9
25310,-9
25322,-9
25323,-9
25325,-9
25329,-9
25331,-9
25333,-9
25335,-9
25338,-9
25339,-9
25348,-9
25357,-9
25367,-9
25369,-9
25376,-9
25377,-9
25378,-9
25379,-9
25402,-9
25501,-9
25503,-9
25506,-9
25507,-9
25508,-9
25513,-9
25516,-9
25518,-9
25519,-9
25521,-9
25604,-9
25616,-9
25617,-9
25623,-9
25624,-9
25628,-9
25629,-9
25630,-9
25704,-10
25711,-10
25713,-9
25715,-9
26401,-9
26407,-9
26409,-9
26410,-9
26411,-9
26412,-9
26413,-9
26414,-9
26415,-9
26418,-9
26422,-9
26425,-9
26435,-9
26438,-9
26439,-9
26442,-9
26443,-9
26444,-9
26445,-9
26451,-9
26465,-9
26479,-9
26480,-9
26484,-9
26486,-9
26491,-9
26492,-9
26494,-9
26497,-9
26498,-9
26499,-9
26501,-9
26502,-9
26510,-9
26512,-9
26514,-9
26516,-9
26521,-9
26523,-9
26524,-9
26526,-9
26528,-9
26529,-9
26533,-9
26534,-9
26535,-9
26536,-9
26542,-9
26546,-9
26547,-9
26551,-9
26552,-9
26553,-9
26554,-9
26555,-9
26557,-9
26558,-9
26559,-9
26560,-9
26561,-9
26562,-9
26563,-9
26601,-9
26602,-9
26615,-9
26616,-9
26617,-9
26622,-9
26623,-9
26624,-9
26625,-9
26627,-9
26628,-9
26631,-9
26634,-9
26635,-9
26642,-9
26643,-9
26644,-9
26645,-9
26646,-9
26647,-9
26648,-9
26649,-9
26650,-9
26651,-9
26652,-9
26653,-9
26654,-9
26655,-9
26703,-9
26704,-9
27401,-9
27406,-9
27408,-9
27502,-9
27503,-9
27515,-9
27516,-9
27517,-9
27518,-9
33126,1
33209,2
34113,1
40308,10
40309,9
40310,9
40504,11
40505,10
40604,12
40710,12
41231,8
41414,10
41415,10
41418,10
41419,10
41420,10
41606,12
41818,10
42215,9
43285,9
43319,9
