Datetime,Date,year,month,day,hour,Altimeter,DPT,DBT,RH,SeaLevelPressure,p_atm,Visibility,WetBulbCelsius,wind_dir,wind_speed,fake_year,month_names,DOY,Time,UTC_time,times,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,erf,delta_mrt,MRT,wind_speed_utci,wind_speed_utci_0,utci_noSun_Wind,utci_noSun_noWind,utci_Sun_Wind,utci_Sun_noWind,utci_noSun_Wind_categories,utci_noSun_noWind_categories,utci_Sun_Wind_categories,utci_Sun_noWind_categories,p_sat,p_vap,hr,t_wb,t_dp,h,adaptive_comfort,adaptive_cmf_80_low,adaptive_cmf_80_up,adaptive_cmf_90_low,adaptive_cmf_90_up,adaptive_cmf_rmt
2013-01-01,2013-01-01,2013,1,1,0,1024.04,-0.6,4.4,70.0,1023.37,993.57,12.87,2.3,60.0,1.3416666666666666,year,Jan,1,0 days 00:00:00,2013-01-01 00:00:00,0 days 09:00:00,81.63327798369825,81.73983389369997,8.366722016301747,8.26016610630003,234.9840815610559,-3.4302640707828687,49.3,11.3,15.700000000000001,1.3416666666666666,0.5,3.4,5.7,7.7,10.0,-1,-1,-1,0,836.6,585.62,0.0036157054728746594,1.7,-0.6,13489.2,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,1,1023.71,-0.6,4.4,70.0,1023.03,993.57,16.09,2.3,50.0,2.683333333333333,year,Jan,1,0 days 01:00:00,2013-01-01 01:00:00,0 days 10:00:00,92.44000209658688,92.44000209658688,-2.4400020965868765,-2.4400020965868765,243.71807064102543,-3.4498818162901443,45.2,10.4,14.8,2.683333333333333,0.5,-0.9,5.7,2.9,9.7,-2,-1,-1,0,836.6,585.62,0.0036157054728746594,1.7,-0.6,13489.2,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,2,1024.04,-0.6,3.9,73.0,1023.37,993.57,16.09,2.0,50.0,2.683333333333333,year,Jan,1,0 days 02:00:00,2013-01-01 02:00:00,0 days 11:00:00,103.93292473761299,103.93292473761299,-13.932924737612996,-13.932924737612996,251.44439924702215,-3.4694907631346723,45.2,10.4,14.3,2.683333333333333,0.5,-1.4,5.2,2.3,9.2,-2,-1,-1,0,807.8,589.694,0.003641006204120728,1.5,-0.5,13047.39,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,3,1023.37,-0.6,3.3,76.0,1022.69,993.23,14.48,1.7,60.0,2.236111111111111,year,Jan,1,0 days 03:00:00,2013-01-01 03:00:00,0 days 12:00:00,115.94247383200641,115.94247383200641,-25.942473832006407,-25.942473832006407,258.6892391856853,-3.489090877781564,45.2,10.4,13.7,2.236111111111111,0.5,-0.6,4.7,3.2,8.7,-2,-1,-1,-1,774.3,588.468,0.0036333921703796588,1.2,-0.5,12421.96,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,4,1023.03,0.0,2.8,82.0,1022.35,992.55,12.87,1.6,70.0,1.3416666666666666,year,Jan,1,0 days 04:00:00,2013-01-01 04:00:00,0 days 13:00:00,128.25951336625968,128.25951336625968,-38.25951336625968,-38.25951336625968,266.06229592361467,-3.5086821273762325,45.2,10.4,13.2,1.3416666666666666,0.5,1.9,4.3,5.8,8.3,-1,-1,-1,-1,747.4,612.8679999999999,0.003784962457551787,1.2,0.0,12296.52,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,5,1022.69,-0.6,3.9,73.0,1022.35,992.55,16.09,2.0,60.0,2.236111111111111,year,Jan,1,0 days 05:00:00,2013-01-01 05:00:00,0 days 14:00:00,140.6848561879902,140.6848561879902,-50.684856187990206,-50.684856187990206,274.5386664785275,-3.5282644790677296,45.2,10.4,14.3,2.236111111111111,0.5,0.1,5.2,3.9,9.2,-1,-1,-1,0,807.8,589.694,0.003641006204120728,1.5,-0.5,13047.39,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,6,1022.35,0.0,3.3,79.0,1021.67,992.21,14.48,1.9,90.0,1.3416666666666666,year,Jan,1,0 days 06:00:00,2013-01-01 06:00:00,0 days 15:00:00,152.9100589231752,152.9100589231752,-62.910058923175185,-62.910058923175185,286.4197503736794,-3.54783789938665,45.2,10.4,13.7,1.3416666666666666,0.5,2.4,4.7,6.3,8.8,-1,-1,-1,-1,774.3,611.697,0.0037776866484063184,1.4,0.0,12783.7,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,7,1023.37,1.1,3.9,82.0,1022.69,993.23,11.27,2.7,0.0,0.0,year,Jan,1,0 days 07:00:00,2013-01-01 07:00:00,0 days 16:00:00,163.9745099242383,163.9745099242383,-73.97450992423829,-73.97450992423829,309.7414104140796,-3.567402355514787,45.2,10.4,14.3,0.6,0.5,5.2,5.4,9.2,9.4,-1,-1,0,0,807.8,662.396,0.004092851244738314,2.2,1.1,14180.63,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,8,1023.37,1.7,5.0,79.0,1023.03,993.23,14.48,3.5,0.0,0.0,year,Jan,1,0 days 08:00:00,2013-01-01 08:00:00,0 days 17:00:00,168.92682791319203,168.92682791319203,-78.92682791319203,-78.92682791319203,8.000141558669952,-3.5869578146739514,45.2,10.4,15.4,0.6,0.5,6.2,6.5,10.2,10.5,-1,-1,0,0,872.5,689.275,0.004260070313002663,3.0,1.7,15712.88,22.6,19.1,26.1,20.1,25.1,15.5
2013-01-01,2013-01-01,2013,1,1,9,1023.37,1.1,7.2,65.0,1023.03,993.23,16.09,4.5,40.0,2.236111111111111,year,Jan,1,0 days 09:00:00,2013-01-01 09:00:00,0 days 18:00:00,161.73931341756546,161.73931341756546,-71.73931341756546,-71.73931341756546,57.38470051517754,-3.606504243438394,45.2,10.4,17.6,2.236111111111111,0.5,3.8,8.3,7.5,12.3,-1,-1,-1,0,1015.8,660.27,0.004079628829283106,3.9,1.1,17484.97,22.6,19.1,26.1,20.1,25.1,15.5
